Name,Date,Value
95% interval,,7.3
95% interval,,7.4
95% interval,,7.6
95% interval,,7.6
95% interval,,7.8
95% interval,,7.6
95% interval,,7.6
95% interval,,7.6
95% interval,,7.8
95% interval,2.3,8
95% interval,,8.2
95% interval,,7.8
95% interval,2.7,7.9
95% interval,,7.9
95% interval,,8.2
95% interval,4.1,8.5
95% interval,,8.7
95% interval,,8.8
95% interval,3,8.7
95% interval,,8.9
95% interval,,8.8
95% interval,3.8,8.8
95% interval,,8.7
95% interval,,8.9
95% interval,3.8,8.9
95% interval,,9.2
95% interval,,9
95% interval,4.1,8.9
95% interval,,8.6
95% interval,,8.9
95% interval,5.1,8.8
95% interval,,8.8
95% interval,,8.8
95% interval,4.7,9
95% interval,,9.4
95% interval,,9.5
95% interval,4.4,9.7
95% interval,,9.7
95% interval,,10.1
95% interval,4.8,10.1
95% interval,,10.3
95% interval,,9.9
95% interval,5.8,10.1
95% interval,,9.9
95% interval,,9.6
95% interval,7,9.3
95% interval,,8.7
95% interval,,8.2
95% interval,5.4,7.8
95% interval,,7.4
95% interval,,7.3
95% interval,3.8,7.3
95% interval,,7.5
95% interval,,7.4
95% interval,3.3,7.1
95% interval,,7.1
95% interval,,7.3
95% interval,3.9,7.3
95% interval,,7.4
95% interval,,7.8
95% interval,3.9,8.1
95% interval,,8.1
95% interval,,7.8
95% interval,4.5,7.5
95% interval,,7.2
95% interval,,6.9
95% interval,3.8,6.8
95% interval,,6.8
95% interval,,6.8
95% interval,3.3,7
95% interval,,7
95% interval,,6.8
95% interval,1.8,5.3
95% interval,,0.1
95% interval,,-3.9
95% interval,-10.6,-5.2
95% interval,,-2.1
95% interval,,0.4
95% interval,-4,1.8
95% interval,,2.5
95% interval,,2.6
95% interval,-5.9,2.4
95% interval,,2.3
95% interval,,2.6
95% interval,-1.7,4
95% interval,,9.9
95% interval,,15
95% interval,14.5,17.2
95% interval,,13.6
95% interval,,11.2
95% interval,9.8,9.8
95% interval,,8.8
95% interval,,8.4
95% interval,4.8,8.8
95% interval,,9.1
95% interval,,9.1
95% interval,2.2,8.7
95% interval,,8.3
95% interval,,8
95% interval,3.5,7.6
95% interval,,7.6
95% interval,,7.5
95% interval,5.5,7.5
95% interval,,7.5
95% interval,,7.5
95% interval,4.4,7.2
95% interval,,6.9
95% interval,,6.6
95% interval,3.4,6.8
95% interval,,6.8
95% interval,,6.9
95% interval,2.4,6.9
95% interval,,6.8
95% interval,,6.6
95% interval,2.5,6.6
95% interval,,6.7
95% interval,,6.8
95% interval,2.3,7
95% interval,,6.9
95% interval,,7.1
95% interval,2.7,7.1
95% interval,,7.3
95% interval,,6.9
95% interval,2.8,6.8
95% interval,,6.4
95% interval,,6.7
95% interval,1.9,6.5
95% interval,,6.7
95% interval,,6.9
95% interval,1.5,10.2
95% interval,,10.1
95% interval,,10.2
95% interval,,9.6
95% interval,,9.4
95% interval,,9.7
95% interval,,9.8
95% interval,,10.2
95% interval,,10.2
95% interval,,10.4
95% interval,,10.4
95% interval,,10.3
95% interval,,10.5
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
95% interval,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,1.4
,,1.7
,,2.1
,,3
,,3.1
,,2.7
,,2.5
,,2.9
,,3.1
,,3.5
,,3.3
,,3.8
,,4.4
,,4.8
,,4.7
,,4.2
,,4.2
