?"Activitate","Tev?kenys?g","Activity","Year","Value"
"Prelucrare ?i?ei, Produse Chimice, Cauciuc ?i Mase Plastice","K?olaj-Feldolgoz?s, Vegyi Term?kek, Gumi ?s M?anyag Gy?rt?sa","Petroleum Refining, Chemical Products, Rubber, And Plastics","2015","3882"
"Prelucrare ?i?ei, Produse Chimice, Cauciuc ?i Mase Plastice","K?olaj-Feldolgoz?s, Vegyi Term?kek, Gumi ?s M?anyag Gy?rt?sa","Petroleum Refining, Chemical Products, Rubber, And Plastics","2016","4530"
"Prelucrare ?i?ei, Produse Chimice, Cauciuc ?i Mase Plastice","K?olaj-Feldolgoz?s, Vegyi Term?kek, Gumi ?s M?anyag Gy?rt?sa","Petroleum Refining, Chemical Products, Rubber, And Plastics","2017","4884"
"Prelucrare ?i?ei, Produse Chimice, Cauciuc ?i Mase Plastice","K?olaj-Feldolgoz?s, Vegyi Term?kek, Gumi ?s M?anyag Gy?rt?sa","Petroleum Refining, Chemical Products, Rubber, And Plastics","2018","5175"
"Prelucrare ?i?ei, Produse Chimice, Cauciuc ?i Mase Plastice","K?olaj-Feldolgoz?s, Vegyi Term?kek, Gumi ?s M?anyag Gy?rt?sa","Petroleum Refining, Chemical Products, Rubber, And Plastics","2019","5217"
"Prelucrare ?i?ei, Produse Chimice, Cauciuc ?i Mase Plastice","K?olaj-Feldolgoz?s, Vegyi Term?kek, Gumi ?s M?anyag Gy?rt?sa","Petroleum Refining, Chemical Products, Rubber, And Plastics","2020","5136"
"Prelucrare ?i?ei, Produse Chimice, Cauciuc ?i Mase Plastice","K?olaj-Feldolgoz?s, Vegyi Term?kek, Gumi ?s M?anyag Gy?rt?sa","Petroleum Refining, Chemical Products, Rubber, And Plastics","2021","6993"
"Prelucrare ?i?ei, Produse Chimice, Cauciuc ?i Mase Plastice","K?olaj-Feldolgoz?s, Vegyi Term?kek, Gumi ?s M?anyag Gy?rt?sa","Petroleum Refining, Chemical Products, Rubber, And Plastics","2022","6867"
"Prelucrare ?i?ei, Produse Chimice, Cauciuc ?i Mase Plastice","K?olaj-Feldolgoz?s, Vegyi Term?kek, Gumi ?s M?anyag Gy?rt?sa","Petroleum Refining, Chemical Products, Rubber, And Plastics","2023","7311"
"Textile, Confec?ii ?i Piel?rie","Text?li?k, Ruh?zat ?s B?r?ruk","Textiles, Apparel, And Leather Goods","2013","793"
"Textile, Confec?ii ?i Piel?rie","Text?li?k, Ruh?zat ?s B?r?ruk","Textiles, Apparel, And Leather Goods","2014","919"
"Textile, Confec?ii ?i Piel?rie","Text?li?k, Ruh?zat ?s B?r?ruk","Textiles, Apparel, And Leather Goods","2015","999"
"Textile, Confec?ii ?i Piel?rie","Text?li?k, Ruh?zat ?s B?r?ruk","Textiles, Apparel, And Leather Goods","2016","1037"
"Textile, Confec?ii ?i Piel?rie","Text?li?k, Ruh?zat ?s B?r?ruk","Textiles, Apparel, And Leather Goods","2017","1068"
"Textile, Confec?ii ?i Piel?rie","Text?li?k, Ruh?zat ?s B?r?ruk","Textiles, Apparel, And Leather Goods","2018","1018"
"Textile, Confec?ii ?i Piel?rie","Text?li?k, Ruh?zat ?s B?r?ruk","Textiles, Apparel, And Leather Goods","2019","1016"
"Textile, Confec?ii ?i Piel?rie","Text?li?k, Ruh?zat ?s B?r?ruk","Textiles, Apparel, And Leather Goods","2020","989"
"Textile, Confec?ii ?i Piel?rie","Text?li?k, Ruh?zat ?s B?r?ruk","Textiles, Apparel, And Leather Goods","2021","978"
"Textile, Confec?ii ?i Piel?rie","Text?li?k, Ruh?zat ?s B?r?ruk","Textiles, Apparel, And Leather Goods","2022","971"
"Textile, Confec?ii ?i Piel?rie","Text?li?k, Ruh?zat ?s B?r?ruk","Textiles, Apparel, And Leather Goods","2023","1018"
"Alte Ramuri Ale Industriei Prelucr?toare","Feldolgoz?ipar Egy?b ?gai","Other Branches Of Manufacturing","2013","491"
"Alte Ramuri Ale Industriei Prelucr?toare","Feldolgoz?ipar Egy?b ?gai","Other Branches Of Manufacturing","2014","555"
"Alte Ramuri Ale Industriei Prelucr?toare","Feldolgoz?ipar Egy?b ?gai","Other Branches Of Manufacturing","2015","582"
"Alte Ramuri Ale Industriei Prelucr?toare","Feldolgoz?ipar Egy?b ?gai","Other Branches Of Manufacturing","2016","757"
"Alte Ramuri Ale Industriei Prelucr?toare","Feldolgoz?ipar Egy?b ?gai","Other Branches Of Manufacturing","2017","671"
"Alte Ramuri Ale Industriei Prelucr?toare","Feldolgoz?ipar Egy?b ?gai","Other Branches Of Manufacturing","2018","886"
"Alte Ramuri Ale Industriei Prelucr?toare","Feldolgoz?ipar Egy?b ?gai","Other Branches Of Manufacturing","2019","900"
"Alte Ramuri Ale Industriei Prelucr?toare","Feldolgoz?ipar Egy?b ?gai","Other Branches Of Manufacturing","2020","987"
"Alte Ramuri Ale Industriei Prelucr?toare","Feldolgoz?ipar Egy?b ?gai","Other Branches Of Manufacturing","2021","1064"
"Alte Ramuri Ale Industriei Prelucr?toare","Feldolgoz?ipar Egy?b ?gai","Other Branches Of Manufacturing","2022","1199"
"Alte Ramuri Ale Industriei Prelucr?toare","Feldolgoz?ipar Egy?b ?gai","Other Branches Of Manufacturing","2023","1288"
