Date,County Code,County Name,Number of Transactions,Legend Name EN,Legend Name HU,Legend Name RO
2020-06,8,BRAILA,461,Others,Egyéb,Alti
2020-06,9,BRASOV,3302,Brasov,Brassó,Brasov
2020-06,10,BUCURESTI,8254,Bucharest,Bukarest,Bucuresti
2020-06,11,BUZAU,508,Others,Egyéb,Alti
2020-06,12,CALARASI,532,Others,Egyéb,Alti
2020-06,13,CARAS SEVERIN,331,Others,Egyéb,Alti
2020-06,14,CLUJ,2486,Cluj,Kolozs,Cluj
2020-06,15,CONSTANTA,1659,Constanta,Konstanca,Constanta
2020-06,16,COVASNA,280,Others,Egyéb,Alti
2020-06,17,DAMBOVITA,759,Others,Egyéb,Alti
2020-06,18,DOLJ,1140,Others,Egyéb,Alti
2020-06,19,GALATI,739,Others,Egyéb,Alti
2020-06,20,GIURGIU,434,Others,Egyéb,Alti
2020-06,21,GORJ,381,Others,Egyéb,Alti
2020-06,22,HARGHITA,514,Others,Egyéb,Alti
2020-06,23,HUNEDOARA,453,Others,Egyéb,Alti
2020-06,24,IALOMITA,360,Others,Egyéb,Alti
2020-06,25,IASI,1099,Others,Egyéb,Alti
2020-06,26,ILFOV,7726,Ilfov,Ilfov,Ilfov
2020-06,27,MARAMURES,632,Others,Egyéb,Alti
2020-06,28,MEHEDINTI,372,Others,Egyéb,Alti
2020-06,29,MURES,1005,Others,Egyéb,Alti
2020-06,30,NEAMT,594,Others,Egyéb,Alti
2020-06,31,OLT,300,Others,Egyéb,Alti
2020-06,32,PRAHOVA,1042,Others,Egyéb,Alti
2020-06,33,SALAJ,342,Others,Egyéb,Alti
2020-06,34,SATU MARE,781,Others,Egyéb,Alti
2020-06,35,SIBIU,1027,Others,Egyéb,Alti
2020-06,36,SUCEAVA,887,Others,Egyéb,Alti
2020-06,37,TELEORMAN,368,Others,Egyéb,Alti
2020-06,38,TIMIS,1922,Timis,Temes,Timis
2020-06,39,TULCEA,533,Others,Egyéb,Alti
2020-06,40,VALCEA,312,Others,Egyéb,Alti
2020-06,41,VASLUI,279,Others,Egyéb,Alti
2020-06,42,VRANCEA,598,Others,Egyéb,Alti
2020-07,1,ALBA,845,Others,Egyéb,Alti
2020-07,2,ARAD,755,Others,Egyéb,Alti
2020-07,3,ARGES,778,Others,Egyéb,Alti
2020-07,4,BACAU,763,Others,Egyéb,Alti
2020-07,5,BIHOR,1215,Others,Egyéb,Alti
2020-07,6,BISTRITA NASAUD,470,Others,Egyéb,Alti
2020-07,7,BOTOSANI,859,Others,Egyéb,Alti
2020-07,8,BRAILA,691,Others,Egyéb,Alti
2020-07,9,BRASOV,2942,Brasov,Brassó,Brasov
2020-07,10,BUCURESTI,9017,Bucharest,Bukarest,Bucuresti
2020-07,11,BUZAU,587,Others,Egyéb,Alti
2020-07,12,CALARASI,607,Others,Egyéb,Alti
2020-07,13,CARAS SEVERIN,235,Others,Egyéb,Alti
2020-07,14,CLUJ,3484,Cluj,Kolozs,Cluj
2020-07,15,CONSTANTA,2279,Constanta,Konstanca,Constanta
2020-07,16,COVASNA,399,Others,Egyéb,Alti
2020-07,17,DAMBOVITA,1186,Others,Egyéb,Alti
2020-07,18,DOLJ,1382,Others,Egyéb,Alti
2020-07,19,GALATI,969,Others,Egyéb,Alti
2020-07,20,GIURGIU,388,Others,Egyéb,Alti
2020-07,21,GORJ,593,Others,Egyéb,Alti
2020-07,22,HARGHITA,772,Others,Egyéb,Alti
2020-07,23,HUNEDOARA,712,Others,Egyéb,Alti
2020-07,24,IALOMITA,450,Others,Egyéb,Alti
2020-07,25,IASI,1172,Others,Egyéb,Alti
2020-07,26,ILFOV,3395,Ilfov,Ilfov,Ilfov
2020-07,27,MARAMURES,895,Others,Egyéb,Alti
2020-07,28,MEHEDINTI,312,Others,Egyéb,Alti
2020-07,29,MURES,1228,Others,Egyéb,Alti
2020-07,30,NEAMT,838,Others,Egyéb,Alti
2020-07,31,OLT,197,Others,Egyéb,Alti
2020-07,32,PRAHOVA,993,Others,Egyéb,Alti
2020-07,33,SALAJ,395,Others,Egyéb,Alti
2020-07,34,SATU MARE,1008,Others,Egyéb,Alti
2020-07,35,SIBIU,846,Others,Egyéb,Alti
2020-07,36,SUCEAVA,1592,Others,Egyéb,Alti
2020-07,37,TELEORMAN,360,Others,Egyéb,Alti
2020-07,38,TIMIS,2433,Timis,Temes,Timis
2020-07,39,TULCEA,670,Others,Egyéb,Alti
2020-07,40,VALCEA,491,Others,Egyéb,Alti
2020-07,41,VASLUI,351,Others,Egyéb,Alti
2020-07,42,VRANCEA,599,Others,Egyéb,Alti
2020-08,1,ALBA,501,Others,Egyéb,Alti
2020-08,2,ARAD,659,Others,Egyéb,Alti
2020-08,3,ARGES,609,Others,Egyéb,Alti
2020-08,4,BACAU,780,Others,Egyéb,Alti
2020-08,5,BIHOR,958,Others,Egyéb,Alti
2020-08,6,BISTRITA NASAUD,428,Others,Egyéb,Alti
2020-08,7,BOTOSANI,826,Others,Egyéb,Alti
2020-08,8,BRAILA,435,Others,Egyéb,Alti
2020-08,9,BRASOV,2605,Brasov,Brassó,Brasov
2020-08,10,BUCURESTI,7799,Bucharest,Bukarest,Bucuresti
2020-08,11,BUZAU,695,Others,Egyéb,Alti
2020-08,12,CALARASI,370,Others,Egyéb,Alti
2020-08,13,CARAS SEVERIN,224,Others,Egyéb,Alti
2020-08,14,CLUJ,2705,Cluj,Kolozs,Cluj
2020-08,15,CONSTANTA,1444,Constanta,Konstanca,Constanta
2020-08,16,COVASNA,374,Others,Egyéb,Alti
2020-08,17,DAMBOVITA,1236,Others,Egyéb,Alti
2020-08,18,DOLJ,1187,Others,Egyéb,Alti
2020-08,19,GALATI,995,Others,Egyéb,Alti
2020-08,20,GIURGIU,363,Others,Egyéb,Alti
2020-08,21,GORJ,540,Others,Egyéb,Alti
